SampleID	CONTIG COUNT 	L50 	L90 	MAX 	MEAN 	MEDIAN 	MIN 	N50 	N90 	TOTAL LENGTH 	z1_BUSCO_Complete	z2_BUSCO_Single	z3_BUSCO_Duplicate	z4_BUSCO_Fragmented	z5_BUSCO_Missing	z6_BUSCO_NumGenes
SM_146	26571	1401	17603	91283	1866.36	713	493	7243	618	49590991	95.2	70.7	24.5	3.4	1.4	290
SM_17	5447	171	3315	230831	2194.93	711	476	11813	641	11955778	6.2	5.5	0.7	7.6	86.2	290
SM_22	286	49	172	56146	4968.98	2984	509	8022	2260	1421128	0.0	0.0	0.0	0.3	99.7	290
SM_28	41858	6755	32181	177297	1254.04	756	484	1268	591	52491505	37.3	34.5	2.8	45.9	16.8	290
SM_4	9483	1440	6324	177226	4256.93	2396	1000	6739	1670	40368472	89.3	73.1	16.2	7.6	3.1	290
SM_40	1302	164	671	95058	6214.57	2885	503	13428	2721	8091375	3.1	3.1	0.0	4.8	92.1	290
SM_48	289	58	196	56145	4669.60	3381	1004	6362	2002	1349513	0.0	0.0	0.0	0.0	100.0	290
SM_5	10729	1861	7576	232415	3650.24	2234	1000	5022	1545	39163404	80.3	66.9	13.4	11.4	8.3	290
SM_50	33783	7332	26607	40048	1146.10	768	478	1207	584	38718707	55.5	46.2	9.3	33.8	10.7	290
SM_51	20365	2967	14712	51380	3142.68	1703	1000	4807	1290	64000630	91.4	50.7	40.7	7.9	0.7	290
SM_55	29040	5828	22554	24257	1213.79	785	485	1354	594	35248587	58.2	47.9	10.3	32.1	9.7	290
SM_76	26708	3016	18585	62289	1727.96	812	498	3416	651	46150234	91.4	70.7	20.7	6.6	2.0	290
SM_80	29755	6147	23039	38967	2470.81	1618	994	2796	1202	73518921	92.8	47.6	45.2	6.6	0.6	290
SM_87	33976	6484	24988	79806	1486.62	921	452	1988	640	50509421	61.7	53.1	8.6	26.9	11.4	290
SM_92	341	58	211	56145	4466.18	2718	517	6972	1933	1522967	0.3	0.3	0.0	0.0	99.7	290
SM_98	16655	2786	12041	66270	3328.03	1994	991	4436	1429	55428368	93.8	53.1	40.7	4.5	1.7	290
